CourseId,CourseName,GPA,NeuId,Plagiarism,Retake,Term,Year
CS 6515,Software Development,3.35,007,No,No,SPRING,2016
CS 5800,Algorithms,3.64,007,No,No,FALL,2016
CS 6740,Network Security,3.35,007,No,No,SPRING,2016
CS 5001,Intensive Foundations of CS,3.26,008,No,No,FALL,2017
CS 5002,Discrete and Data Structures,3.4,008,No,No,FALL,2017
CS 5004,Object-Oriented Design,3.53,008,No,No,FALL,2017
CS 5006,Algorithms,3.26,008,No,No,SPRING,2017
CS 5007,Computer Systems,3.61,008,No,No,FALL,2017
CS 5001,Intensive Foundations of CS,3.22,009,No,No,SPRING,2015
CS 5002,Discrete and Data Structures,3.45,009,No,No,FALL,2015
CS 5004,Object-Oriented Design,3.31,009,No,No,SPRING,2015
CS 5006,Algorithms,3.53,009,No,No,SPRING,2015
CS 5007,Computer Systems,3.58,009,No,No,SPRING,2015
CS 6540,Foundations of Formal Methods and Software Analysis,3.35,009,No,No,FALL,2015
CS 5650,High Performance Computing,3.4,009,No,No,SPRING,2015
CS 7270,Seminar in Database Systems,3.55,009,No,No,SPRING,2015
CS 6120,Natural Language Processing,3.48,009,No,No,FALL,2015
CS 5500,Managing Software Development,3.45,009,No,No,FALL,2015
CS 6515,Software Development,3.48,009,No,No,SPRING,2015
CS 5001,Intensive Foundations of CS,3.36,010,No,No,FALL,2015
CS 5002,Discrete and Data Structures,3.57,010,No,No,SPRING,2015
CS 5004,Object-Oriented Design,3.54,010,No,No,SPRING,2015
CS 5006,Algorithms,3.51,010,No,No,SPRING,2015
CS 5007,Computer Systems,3.48,010,No,No,FALL,2015
CS 5850,Building Game Engines,3.46,010,No,No,FALL,2015
CS 7775,Seminar in Computer Security,3.49,010,No,No,SPRING,2015
CS 6120,Natural Language Processing,3.26,010,No,No,FALL,2015
CS 7580,Special Topics in Software Engineering,3.56,010,No,No,SPRING,2015
CS 5200,Database Management Systems,3.48,010,No,No,SPRING,2015
CS 5750,Social Computing,3.91,010,No,No,FALL,2015
CS 7140,Advanced Machine Learning,3.78,010,No,No,SPRING,2015
CS 5001,Intensive Foundations of CS,3.5,011,No,No,SPRING,2016
CS 5002,Discrete and Data Structures,3.56,011,No,No,FALL,2016
CS 5004,Object-Oriented Design,3.54,011,No,No,SPRING,2016
CS 5006,Algorithms,3.51,011,No,No,SPRING,2016
CS 5007,Computer Systems,3.72,011,No,No,SPRING,2016
CS 5520,Mobile Application Development,3.4,011,No,No,SPRING,2016
CS 6740,Network Security,3.38,011,No,No,SPRING,2016
CS 5600,Computer Systems,3.38,011,No,No,SPRING,2016
CS 5335,Robotic Science and Systems,3.54,011,No,No,SPRING,2016
CS 5001,Intensive Foundations of CS,3.44,012,No,No,FALL,2017
CS 5002,Discrete and Data Structures,3.28,012,No,No,FALL,2017
CS 5004,Object-Oriented Design,3.51,012,No,No,FALL,2017
CS 5006,Algorithms,3.31,012,No,No,SPRING,2017
CS 5007,Computer Systems,3.5,012,No,No,SPRING,2017
CS 5001,Intensive Foundations of CS,3.47,013,No,No,FALL,2016
CS 5002,Discrete and Data Structures,3.36,013,No,No,SPRING,2016
CS 5004,Object-Oriented Design,3.51,013,No,No,SPRING,2016
CS 5006,Algorithms,3.47,013,No,No,FALL,2016
CS 5007,Computer Systems,3.29,013,No,No,FALL,2016
CS 6740,Network Security,3.46,013,No,No,SPRING,2016
CS 7180,Special Topics in Artificial Intelligence,3.53,013,No,No,FALL,2016
CS 5620,Computer Architecture,3.67,013,No,No,FALL,2016
CS 5800,Algorithms,3.62,013,No,No,FALL,2016
CS 5001,Intensive Foundations of CS,3.6,014,No,No,FALL,2015
CS 5002,Discrete and Data Structures,3.13,014,No,No,SPRING,2015
CS 5004,Object-Oriented Design,3.43,014,No,No,FALL,2015
CS 5006,Algorithms,3.5,014,No,No,FALL,2015
CS 5007,Computer Systems,3.72,014,No,No,FALL,2015
CS 7470,Seminar in Programming Languages,3.51,014,No,No,SPRING,2015
CS 5750,Social Computing,3.35,014,No,No,SPRING,2015
CS 7990,Thesis,3.71,014,No,No,FALL,2015
CS 5500,Managing Software Development,3.51,014,No,No,SPRING,2015
CS 6760,"Privacy, Security, and Usability",3.46,014,No,No,SPRING,2015
CS 5100,Foundations of Artificial Intelligence,3.4,014,No,No,SPRING,2015
CS 5600,Computer Systems,3.26,014,No,No,SPRING,2015
CS 5001,Intensive Foundations of CS,3.71,015,No,No,SPRING,2014
CS 5002,Discrete and Data Structures,3.72,015,No,No,SPRING,2014
CS 5004,Object-Oriented Design,3.71,015,No,No,SPRING,2014
CS 5006,Algorithms,3.29,015,No,No,FALL,2014
CS 5007,Computer Systems,3.48,015,No,No,FALL,2014
CS 5850,Building Game Engines,3.46,015,No,No,SPRING,2014
CS 6610,Parallel Computing,3.53,015,No,No,SPRING,2014
CS 7370,Seminar in Graphics/Image Processing,3.59,015,No,No,FALL,2014
CS 5650,High Performance Computing,3.46,015,No,No,SPRING,2014
CS 6750,Cryptography and Communications Security,3.26,015,No,No,FALL,2014
CS 5770,Software Vulnerabilities and Security,3.63,015,No,No,SPRING,2014
CS 7880,Special Topics in Theories of Computer Science,3.44,015,No,No,FALL,2014
CS 5001,Intensive Foundations of CS,3.58,016,No,No,SPRING,2015
CS 5002,Discrete and Data Structures,3.18,016,No,No,SPRING,2015
CS 5004,Object-Oriented Design,3.79,016,No,No,FALL,2015
CS 5006,Algorithms,3.43,016,No,No,SPRING,2015
CS 5007,Computer Systems,3.41,016,No,No,SPRING,2015
CS 7580,Special Topics in Software Engineering,3.36,016,No,No,FALL,2015
CS 6310,Computational Imaging,3.69,016,No,No,SPRING,2015
CS 5100,Foundations of Artificial Intelligence,3.71,016,No,No,SPRING,2015
CS 6750,Cryptography and Communications Security,3.39,016,No,No,FALL,2015
CS 7380,Special Topics in Graphics/Image Processing,3.65,016,No,No,SPRING,2015
CS 6220,Data Mining Techniques,3.41,016,No,No,SPRING,2015
CS 5001,Intensive Foundations of CS,3.65,017,No,No,FALL,2016
CS 5002,Discrete and Data Structures,3.28,017,No,No,FALL,2016
CS 5004,Object-Oriented Design,3.76,017,No,No,FALL,2016
CS 5006,Algorithms,3.57,017,No,No,FALL,2016
CS 5007,Computer Systems,3.53,017,No,No,FALL,2016
CS 7180,Special Topics in Artificial Intelligence,3.46,017,No,No,SPRING,2016
CS 7480,Special Topics in Programming Language,3.57,017,No,No,SPRING,2016
CS 6310,Computational Imaging,3.53,017,No,No,FALL,2016
CS 7880,Special Topics in Theories of Computer Science,3.58,017,No,No,SPRING,2016
CS 5001,Intensive Foundations of CS,3.54,018,No,No,SPRING,2017
CS 5002,Discrete and Data Structures,3.33,018,No,No,SPRING,2017
CS 5004,Object-Oriented Design,3.37,018,No,No,FALL,2017
CS 5006,Algorithms,3.52,018,No,No,FALL,2017
CS 5007,Computer Systems,3.69,018,No,No,SPRING,2017
CS 5001,Intensive Foundations of CS,3.67,019,No,No,FALL,2014
CS 5002,Discrete and Data Structures,3.55,019,No,No,SPRING,2014
CS 5004,Object-Oriented Design,3.47,019,No,No,FALL,2014
CS 5006,Algorithms,3.47,019,No,No,FALL,2014
CS 5007,Computer Systems,3.41,019,No,No,FALL,2014
CS 6515,Software Development,3.77,019,No,No,SPRING,2014
CS 7775,Seminar in Computer Security,3.41,019,No,No,FALL,2014
CS 6520,Methods of Software Development,3.38,019,No,No,SPRING,2014
CS 5520,Mobile Application Development,3.64,019,No,No,FALL,2014
CS 5150,Game Artificial Intelligence,3.46,019,No,No,FALL,2014
CS 7780,Special Topics in Networks,3.77,019,No,No,FALL,2014
CS 5700,Fundamentals of Computer Networking,3.4,019,No,No,SPRING,2014
CS 5001,Intensive Foundations of CS,3.49,020,No,No,FALL,2015
CS 5002,Discrete and Data Structures,3.52,020,No,No,FALL,2015
CS 5004,Object-Oriented Design,3.56,020,No,No,SPRING,2015
CS 5006,Algorithms,3.25,020,No,No,SPRING,2015
CS 5007,Computer Systems,3.38,020,No,No,SPRING,2015
CS 5330,Pattern Recognition and Computer Vision,3.34,020,No,No,FALL,2015
CS 6200,Information Retrieval,3.58,020,No,No,FALL,2015
CS 5610,Web Development,3.34,020,No,No,SPRING,2015
CS 7470,Seminar in Programming Languages,3.35,020,No,No,FALL,2015
CS 7380,Special Topics in Graphics/Image Processing,3.43,020,No,No,SPRING,2015
CS 5010,Programming Design Paradigm,3.71,020,No,No,FALL,2015
CS 5310,Computer Graphics,3.49,020,No,No,SPRING,2015
CS 5001,Intensive Foundations of CS,3.35,021,No,No,FALL,2014
CS 5002,Discrete and Data Structures,3.43,021,No,No,SPRING,2014
CS 5004,Object-Oriented Design,3.56,021,No,No,FALL,2014
CS 5006,Algorithms,3.33,021,No,No,FALL,2014
CS 5007,Computer Systems,3.29,021,No,No,SPRING,2014
CS 5610,Web Development,3.41,021,No,No,SPRING,2014
CS 6510,Advanced Software Development,3.51,021,No,No,SPRING,2014
CS 5010,Programming Design Paradigm,3.7,021,No,No,FALL,2014
CS 7170,Seminar in Artificial Intelligence,3.81,021,No,No,SPRING,2014
CS 5310,Computer Graphics,3.34,021,No,No,FALL,2014
CS 6350,Empirical Research Methods,3.5,021,No,No,SPRING,2014
CS 7280,Special Topics in Database Management,3.33,021,No,No,FALL,2014
CS 5001,Intensive Foundations of CS,3.21,022,No,No,FALL,2016
CS 5002,Discrete and Data Structures,3.53,022,No,No,FALL,2016
CS 5004,Object-Oriented Design,3.25,022,No,No,SPRING,2016
CS 5006,Algorithms,3.54,022,No,No,FALL,2016
CS 5007,Computer Systems,3.4,022,No,No,FALL,2016
CS 7170,Seminar in Artificial Intelligence,3.47,022,No,No,FALL,2016
CS 7280,Special Topics in Database Management,3.67,022,No,No,FALL,2016
CS 6120,Natural Language Processing,3.46,022,No,No,SPRING,2016
CS 6510,Advanced Software Development,3.69,022,No,No,SPRING,2016
CS 5001,Intensive Foundations of CS,3.26,023,No,No,SPRING,2016
CS 5002,Discrete and Data Structures,3.55,023,No,No,FALL,2016
CS 5004,Object-Oriented Design,3.53,023,No,No,SPRING,2016
CS 5006,Algorithms,3.48,023,No,No,FALL,2016
CS 5007,Computer Systems,3.67,023,No,No,SPRING,2016
CS 5610,Web Development,3.46,023,No,No,SPRING,2016
CS 6710,Wireless Network,3.51,023,No,No,SPRING,2016
CS 7180,Special Topics in Artificial Intelligence,3.74,023,No,No,FALL,2016
CS 6750,Cryptography and Communications Security,3.48,023,No,No,FALL,2016
CS 5001,Intensive Foundations of CS,3.57,024,No,No,SPRING,2016
CS 5002,Discrete and Data Structures,3.48,024,No,No,SPRING,2016
CS 5004,Object-Oriented Design,3.44,024,No,No,FALL,2016
CS 5006,Algorithms,3.59,024,No,No,SPRING,2016
CS 5007,Computer Systems,3.58,024,No,No,FALL,2016
CS 6110,Knowledge-Based Systems,3.48,024,No,No,SPRING,2016
CS 5350,Applied Geometric Representation and Computation,3.44,024,No,No,SPRING,2016
CS 5001,Intensive Foundations of CS,3.4,025,No,No,FALL,2016
CS 5002,Discrete and Data Structures,3.49,025,No,No,FALL,2016
CS 5004,Object-Oriented Design,3.62,025,No,No,SPRING,2016
CS 5006,Algorithms,3.51,025,No,No,FALL,2016
CS 5007,Computer Systems,3.25,025,No,No,SPRING,2016
CS 5500,Managing Software Development,3.69,025,No,No,FALL,2016
CS 7990,Thesis,3.86,025,No,No,SPRING,2016
CS 5650,High Performance Computing,3.52,025,No,No,FALL,2016
CS 7575,Seminar in Software Engineering,3.69,025,No,No,FALL,2016
CS 5001,Intensive Foundations of CS,3.3,026,No,No,FALL,2017
CS 5002,Discrete and Data Structures,3.55,026,No,No,SPRING,2017
CS 5004,Object-Oriented Design,3.26,026,No,No,SPRING,2017
CS 5006,Algorithms,3.56,026,No,No,FALL,2017
CS 5007,Computer Systems,3.12,026,No,No,SPRING,2017
CS 5001,Intensive Foundations of CS,3.38,027,No,No,FALL,2017
CS 5002,Discrete and Data Structures,3.7,027,No,No,FALL,2017
CS 5004,Object-Oriented Design,3.25,027,No,No,FALL,2017
CS 5006,Algorithms,3.7,027,No,No,SPRING,2017
CS 5007,Computer Systems,3.63,027,No,No,SPRING,2017
CS 5001,Intensive Foundations of CS,3.71,028,No,No,FALL,2017
CS 5002,Discrete and Data Structures,3.68,028,No,No,SPRING,2017
CS 5004,Object-Oriented Design,3.83,028,No,No,FALL,2017
CS 5006,Algorithms,3.59,028,No,No,FALL,2017
CS 5007,Computer Systems,3.31,028,No,No,FALL,2017
CS 5001,Intensive Foundations of CS,3.63,029,No,No,SPRING,2017
CS 5002,Discrete and Data Structures,3.64,029,No,No,SPRING,2017
CS 5004,Object-Oriented Design,3.51,029,No,No,SPRING,2017
CS 5006,Algorithms,3.57,029,No,No,SPRING,2017
CS 5007,Computer Systems,3.49,029,No,No,FALL,2017
CS 5001,Intensive Foundations of CS,3.54,030,No,No,FALL,2015
CS 5002,Discrete and Data Structures,3.36,030,No,No,SPRING,2015
CS 5004,Object-Oriented Design,3.43,030,No,No,SPRING,2015
CS 5006,Algorithms,3.46,030,No,No,FALL,2015
CS 5007,Computer Systems,3.39,030,No,No,FALL,2015
CS 5310,Computer Graphics,3.69,030,No,No,SPRING,2015
CS 6740,Network Security,3.6,030,No,No,FALL,2015
CS 5620,Computer Architecture,3.51,030,No,No,SPRING,2015
CS 6610,Parallel Computing,3.45,030,No,No,FALL,2015
CS 5750,Social Computing,3.62,030,No,No,SPRING,2015
CS 7570,Seminar in Software Development,3.53,030,No,No,FALL,2015
CS 7670,Seminar in Computer Systems,3.65,030,No,No,FALL,2015
CS 5001,Intensive Foundations of CS,3.4,031,No,No,FALL,2017
CS 5002,Discrete and Data Structures,3.47,031,No,No,SPRING,2017
CS 5004,Object-Oriented Design,3.22,031,No,No,FALL,2017
CS 5006,Algorithms,3.54,031,No,No,SPRING,2017
CS 5007,Computer Systems,3.5,031,No,No,FALL,2017
CS 5001,Intensive Foundations of CS,3.71,032,No,No,FALL,2017
CS 5002,Discrete and Data Structures,3.55,032,No,No,SPRING,2017
CS 5004,Object-Oriented Design,3.67,032,No,No,FALL,2017
CS 5006,Algorithms,3.58,032,No,No,SPRING,2017
CS 5007,Computer Systems,3.22,032,No,No,SPRING,2017
CS 5001,Intensive Foundations of CS,3.31,033,No,No,FALL,2014
CS 5002,Discrete and Data Structures,3.53,033,No,No,FALL,2014
CS 5004,Object-Oriented Design,3.43,033,No,No,SPRING,2014
CS 5006,Algorithms,3.32,033,No,No,FALL,2014
CS 5007,Computer Systems,3.63,033,No,No,FALL,2014
CS 6740,Network Security,3.65,033,No,No,SPRING,2014
CS 7575,Seminar in Software Engineering,3.4,033,No,No,FALL,2014
CS 7370,Seminar in Graphics/Image Processing,3.41,033,No,No,SPRING,2014
CS 5500,Managing Software Development,3.49,033,No,No,SPRING,2014
CS 8674,Master’s Project,3.59,033,No,No,SPRING,2014
CS 6610,Parallel Computing,3.35,033,No,No,FALL,2014
CS 6140,Machine Learning,3.45,033,No,No,FALL,2014
CS 5001,Intensive Foundations of CS,3.56,034,No,No,FALL,2015
CS 5002,Discrete and Data Structures,3.39,034,No,No,FALL,2015
CS 5004,Object-Oriented Design,3.31,034,No,No,SPRING,2015
CS 5006,Algorithms,3.24,034,No,No,SPRING,2015
CS 5007,Computer Systems,3.5,034,No,No,FALL,2015
CS 7805,Theory of Computation,3.45,034,No,No,SPRING,2015
CS 6200,Information Retrieval,3.44,034,No,No,FALL,2015
CS 6610,Parallel Computing,3.39,034,No,No,FALL,2015
CS 6650,Building Scalable Distributed Systems,3.48,034,No,No,SPRING,2015
CS 5700,Fundamentals of Computer Networking,3.47,034,No,No,SPRING,2015
CS 6310,Computational Imaging,3.76,034,No,No,FALL,2015
CS 5001,Intensive Foundations of CS,3.5,035,No,No,SPRING,2014
CS 5002,Discrete and Data Structures,3.59,035,No,No,SPRING,2014
CS 5004,Object-Oriented Design,3.4,035,No,No,FALL,2014
CS 5006,Algorithms,3.5,035,No,No,SPRING,2014
CS 5007,Computer Systems,3.14,035,No,No,FALL,2014
CS 5340,Computer/Human Interaction,3.44,035,No,No,SPRING,2014
CS 6535,Engineering Reliable Software,3.5,035,No,No,FALL,2014
CS 7670,Seminar in Computer Systems,3.63,035,No,No,FALL,2014
CS 5750,Social Computing,3.8,035,No,No,FALL,2014
CS 5200,Database Management Systems,3.63,035,No,No,FALL,2014
CS 7575,Seminar in Software Engineering,3.54,035,No,No,FALL,2014
CS 6410,Compilers,3.51,035,No,No,SPRING,2014
CS 5001,Intensive Foundations of CS,3.62,036,No,No,SPRING,2016
CS 5002,Discrete and Data Structures,3.5,036,No,No,SPRING,2016
CS 5004,Object-Oriented Design,3.42,036,No,No,SPRING,2016
CS 5006,Algorithms,3.6,036,No,No,SPRING,2016
CS 5007,Computer Systems,3.56,036,No,No,SPRING,2016
CS 6535,Engineering Reliable Software,3.51,036,No,No,FALL,2016
CS 6740,Network Security,3.43,036,No,No,SPRING,2016
CS 5610,Web Development,3.08,036,No,No,SPRING,2016
CS 5770,Software Vulnerabilities and Security,3.49,036,No,No,SPRING,2016
CS 5001,Intensive Foundations of CS,3.25,037,No,No,FALL,2017
CS 5002,Discrete and Data Structures,3.69,037,No,No,SPRING,2017
CS 5004,Object-Oriented Design,3.43,037,No,No,FALL,2017
CS 5006,Algorithms,3.65,037,No,No,SPRING,2017
CS 5007,Computer Systems,3.45,037,No,No,FALL,2017
CS 5001,Intensive Foundations of CS,3.52,038,No,No,SPRING,2014
CS 5002,Discrete and Data Structures,3.6,038,No,No,FALL,2014
CS 5004,Object-Oriented Design,3.48,038,No,No,SPRING,2014
CS 5006,Algorithms,3.58,038,No,No,FALL,2014
CS 5007,Computer Systems,3.1,038,No,No,SPRING,2014
CS 6610,Parallel Computing,3.6,038,No,No,SPRING,2014
CS 5320,Digital Image Processing,3.61,038,No,No,FALL,2014
CS 7575,Seminar in Software Engineering,3.44,038,No,No,FALL,2014
CS 5350,Applied Geometric Representation and Computation,3.51,038,No,No,FALL,2014
CS 7670,Seminar in Computer Systems,3.25,038,No,No,SPRING,2014
CS 5340,Computer/Human Interaction,3.44,038,No,No,FALL,2014
CS 7480,Special Topics in Programming Language,3.57,038,No,No,SPRING,2014
CS 5001,Intensive Foundations of CS,3.44,039,No,No,SPRING,2014
CS 5002,Discrete and Data Structures,3.6,039,No,No,SPRING,2014
CS 5004,Object-Oriented Design,3.58,039,No,No,FALL,2014
CS 5006,Algorithms,3.51,039,No,No,SPRING,2014
CS 5007,Computer Systems,3.55,039,No,No,FALL,2014
CS 6510,Advanced Software Development,3.53,039,No,No,SPRING,2014
CS 8982,Readings,3.4,039,No,No,FALL,2014
CS 7775,Seminar in Computer Security,3.59,039,No,No,FALL,2014
CS 7170,Seminar in Artificial Intelligence,3.45,039,No,No,SPRING,2014
CS 5330,Pattern Recognition and Computer Vision,3.83,039,No,No,SPRING,2014
CS 6110,Knowledge-Based Systems,3.52,039,No,No,SPRING,2014
CS 6220,Data Mining Techniques,3.5,039,No,No,FALL,2014
CS 5001,Intensive Foundations of CS,3.63,040,No,No,FALL,2017
CS 5002,Discrete and Data Structures,3.43,040,No,No,FALL,2017
CS 5004,Object-Oriented Design,3.49,040,No,No,SPRING,2017
CS 5006,Algorithms,3.39,040,No,No,FALL,2017
CS 5007,Computer Systems,3.52,040,No,No,SPRING,2017
CS 5001,Intensive Foundations of CS,3.65,041,No,No,SPRING,2014
CS 5002,Discrete and Data Structures,3.47,041,No,No,SPRING,2014
CS 5004,Object-Oriented Design,3.54,041,No,No,FALL,2014
CS 5006,Algorithms,3.78,041,No,No,FALL,2014
CS 5007,Computer Systems,3.39,041,No,No,SPRING,2014
CS 5800,Algorithms,3.39,041,No,No,SPRING,2014
CS 5850,Building Game Engines,3.26,041,No,No,FALL,2014
CS 7280,Special Topics in Database Management,3.22,041,No,No,FALL,2014
CS 6110,Knowledge-Based Systems,3.41,041,No,No,FALL,2014
CS 5750,Social Computing,3.42,041,No,No,SPRING,2014
CS 6610,Parallel Computing,3.4,041,No,No,SPRING,2014
CS 7805,Theory of Computation,3.5,041,No,No,SPRING,2014
CS 5001,Intensive Foundations of CS,3.71,042,No,No,SPRING,2017
CS 5002,Discrete and Data Structures,3.3,042,No,No,FALL,2017
CS 5004,Object-Oriented Design,3.44,042,No,No,SPRING,2017
CS 5006,Algorithms,3.59,042,No,No,SPRING,2017
CS 5007,Computer Systems,3.42,042,No,No,FALL,2017
CS 5001,Intensive Foundations of CS,3.65,043,No,No,FALL,2016
CS 5002,Discrete and Data Structures,3.51,043,No,No,FALL,2016
CS 5004,Object-Oriented Design,3.42,043,No,No,SPRING,2016
CS 5006,Algorithms,3.4,043,No,No,SPRING,2016
CS 5007,Computer Systems,3.18,043,No,No,SPRING,2016
CS 6200,Information Retrieval,3.48,043,No,No,SPRING,2016
CS 7990,Thesis,3.54,043,No,No,FALL,2016
CS 5350,Applied Geometric Representation and Computation,3.32,043,No,No,FALL,2016
CS 6710,Wireless Network,3.6,043,No,No,SPRING,2016
CS 5001,Intensive Foundations of CS,3.42,044,No,No,FALL,2017
CS 5002,Discrete and Data Structures,3.33,044,No,No,SPRING,2017
CS 5004,Object-Oriented Design,3.28,044,No,No,FALL,2017
CS 5006,Algorithms,3.6,044,No,No,FALL,2017
CS 5007,Computer Systems,3.47,044,No,No,SPRING,2017
CS 5001,Intensive Foundations of CS,3.51,045,No,No,FALL,2015
CS 5002,Discrete and Data Structures,3.44,045,No,No,FALL,2015
CS 5004,Object-Oriented Design,3.33,045,No,No,FALL,2015
CS 5006,Algorithms,3.54,045,No,No,SPRING,2015
CS 5007,Computer Systems,3.7,045,No,No,SPRING,2015
CS 5610,Web Development,3.6,045,No,No,SPRING,2015
CS 6110,Knowledge-Based Systems,3.46,045,No,No,SPRING,2015
CS 5200,Database Management Systems,3.61,045,No,No,FALL,2015
CS 6310,Computational Imaging,3.5,045,No,No,FALL,2015
CS 8674,Master’s Project,3.43,045,No,No,FALL,2015
CS 6410,Compilers,3.41,045,No,No,FALL,2015
CS 5340,Computer/Human Interaction,3.54,045,No,No,FALL,2015
CS 5001,Intensive Foundations of CS,3.64,046,No,No,SPRING,2015
CS 5002,Discrete and Data Structures,3.54,046,No,No,SPRING,2015
CS 5004,Object-Oriented Design,3.26,046,No,No,FALL,2015
CS 5006,Algorithms,3.26,046,No,No,FALL,2015
CS 5007,Computer Systems,3.68,046,No,No,SPRING,2015
CS 7140,Advanced Machine Learning,3.59,046,No,No,SPRING,2015
CS 7880,Special Topics in Theories of Computer Science,3.34,046,No,No,SPRING,2015
CS 6800,Application of Information Theory,3.52,046,No,No,FALL,2015
CS 6200,Information Retrieval,3.72,046,No,No,SPRING,2015
CS 5340,Computer/Human Interaction,3.68,046,No,No,SPRING,2015
CS 5750,Social Computing,3.58,046,No,No,FALL,2015
CS 7280,Special Topics in Database Management,3.78,046,No,No,FALL,2015
CS 5001,Intensive Foundations of CS,3.23,047,No,No,SPRING,2016
CS 5002,Discrete and Data Structures,3.8,047,No,No,FALL,2016
CS 5004,Object-Oriented Design,3.66,047,No,No,SPRING,2016
CS 5006,Algorithms,3.46,047,No,No,FALL,2016
CS 5007,Computer Systems,3.76,047,No,No,SPRING,2016
